ID	Name	Designator	Footprint	Quantity	Manufacturer Part	Manufacturer	Supplier	Supplier Part	Price
"1"	"1000uF"	"C1"	"CAP-TH_BD4.0-P1.50-D0.8-FD"	"1"	"KS106M050C07RR0VH2FP0"	"Chengx(承兴)"	"LCSC"	"C32856"	"0.016"
"2"	"100nF"	"C2"	"CAP-TH_L10.0-W4.0-P5.00-D0.6"	"1"	"DCM472K39Y5PL6FJ5A0"	"SHM(南方宏明)"	"LCSC"	"C2896105"	"0.058"
"3"	"POWER IN"	"J1_PWR"	"CONN-TH_XH2.54-2P"	"1"	"XH2.54-2PIN-直针"	"null"	"LCSC"	"C9900011425"	""
"4"	"SWITCH"	"J6_SWITCH"	"CONN-TH_XH2.54-2P"	"1"	"XH2.54-2PIN-直针"	"null"	"LCSC"	"C9900011425"	""
"5"	"LEFT LED"	"J2_L_LED"	"CONN-TH_XH2.54-3P"	"1"	"XH_2.54_3P"	"null"	"LCSC"	"C9900004241"	""
"6"	"RIGHT LED"	"J3_R_LED"	"CONN-TH_XH2.54-3P"	"1"	"XH_2.54_3P"	"null"	"LCSC"	"C9900004241"	""
"7"	"MPU6050"	"J4_MPU6050"	"CONN-TH_XH2.54-4P"	"1"	"WAFER-XH254Z-4AL"	"HANBO(汉博)"	"LCSC"	"C22751797"	"0.017"
"8"	"ENCODER"	"J5_ENCODER"	"CONN-TH_XH2.54-5P"	"1"	"XH_2.54_5P"	"null"	"LCSC"	"C9900004239"	""
"9"	"330Ω"	"R1,R2"	"RES-TH_BD2.3-L3.7-P7.70-D0.9"	"2"	"CR1/8W-56K±5%-ST52"	"VO(翔胜)"	"LCSC"	"C2897076"	"0.003"
"10"	"ESP32C3-SUPERMINI"	"U1"	"COMM-SMD_16P-L22.5-W18.0-P2.54-TL"	"1"	"ESP32C3-SuperMini"	"null"	"LCSC"	"C9900147397"	""
"11"	"SN74AHCT125N"	"U2"	"PDIP-14_L19.3-W6.4-P2.54-LS7.6-BL"	"1"	"SN74AHCT125N"	"TI(德州仪器)"	"LCSC"	"C354152"	"0.608"
